Paper,Author
6392,6762428
6412,6768785
6420,6761881
6434,6766954
6444,6768863
6454,6763350
6462,6762037
6463,6768904
6469,6762629
6485,6762008
6495,6768985
6504,6769000
6514,6762921
6517,6764631
6533,6762111
6543,6769075
6554,6769088
6559,6764068
6561,6762917
6563,6761785
6623,6769256
6626,6769265
6641,6769292
6647,6769310
6657,6761995
6670,6769372
6701,6764690
6702,6764067
6716,6769480
6725,6769508
6766,6762440
6790,6769660
6817,6765286
6829,6766537
6836,6769766
6843,6762439
6861,6769822
6869,6765094
6871,6769837
6881,6764678
6891,6761923
6911,6765154
6915,6764726
6923,6769958
6928,6762578
6930,6766134
6940,6761970
6978,6770076
6979,6770077
7006,6770147
7030,6768531
7031,6755945
7049,6764420
7054,6763899
7057,6770242
7058,6764620
7078,6770282
7085,6762801
7096,6770321
7110,6770343
7112,6770348
7127,6767271
7136,6770393
7138,6770397
7146,6764891
7159,6763350
7181,6761791
7209,6770584
7216,6770602
7221,6770609
7259,6770680
7278,6769009
7288,6764876
7306,6770756
7311,6770764
7313,6770656
7336,6768664
7342,6770819
7346,6770825
7359,6770853
7362,6763717
7365,6765629
7389,6768265
7448,6771035
7475,6771101
7486,6762862
7488,6771126
7539,6771247
7545,6771255
7573,6762475
7627,6762416
7634,6771428
7640,6771442
7691,6766043
7706,6765440
7713,6771617
7726,6762111
7732,6771650
7744,6763021
7760,6771711
7771,6771738
7783,6766594
7802,6770211
7806,6771797
7838,6761976
7850,6771902
7879,6764984
7905,6762216
7909,6772014
7913,6772022
7916,6756184
7938,6772082
7940,6772083
7946,6765865
7982,6772168
7985,6762865
7990,6764355
8002,6766361
8010,6762111
8014,6772244
8016,6772249
8022,6772268
8023,6764023
8055,6768293
8059,6761787
8060,6767927
8087,6764237
8092,6772402
8098,6765999
8101,6758914
8123,6761881
8148,6772503
8165,6767116
8171,6762801
8174,6772547
8175,6772550
8176,6762914
8219,6772638
8235,6772662
8252,6772698
8269,6772737
8290,6772783
8323,6772851
8329,6772861
8366,6772936
8377,6766029
8393,6772987
8412,6773021
8460,6772996
8474,6773167
8505,6773240
8516,6773255
8534,6773289
8544,6773309
8546,6772911
8548,6773318
8568,6773345
8588,6773385
8589,6773386
8595,6772706
8610,6773420
8622,6773434
8624,6773078
8640,6773476
8651,6761433
8654,6773502
8655,6773503
8657,6773508
8683,6773459
8707,6773612
8708,6773616
8731,6773656
8755,6772738
8756,6773693
8761,6773705
8782,6762368
8789,6772685
8795,6762487
8851,6773856
8856,6772759
8879,6773241
8908,6763986
8922,6773885
8929,6773986
8931,6773908
8938,6768944
8958,6772401
8968,6773998
8988,6774076
8998,6774098
9013,6772871
9020,6774130
9035,6774157
9048,6772782
9076,6758452
9098,6774264
9152,6773338
9158,6774350
9215,6773046
9248,6774479
9249,6774481
9269,6774521
9292,6774568
9355,6774627
9386,6774708
9424,6774790
9431,6774789
9456,6774820
9479,6774852
9482,6774857
9495,6774870
9512,6774885
9533,6774805
9566,6774985
9606,6775081
9665,6759715
9718,6775301
9719,6775304
9778,6775425
9801,6774953
9829,6775463
9832,6775521
9848,6775556
9854,6775568
9915,6775213
9933,6775709
9944,6775366
9954,6775272
9956,6775756
9959,6775760
9997,6775834
10001,6775217
10023,6775878
10028,6775891
10069,6775969
10078,6775987
10085,6766517
10106,6776030
10113,6776041
10114,6776042
10121,6776051
10129,6774913
10169,6776137
10211,6776217
10217,6776227
10220,6776234
10225,6775377
10261,6776292
10266,6776302
10275,6776314
10287,6776338
10294,6776352
10309,6776382
10327,6776413
10348,6776452
10380,6776067
10386,6776060
10413,6776557
10420,6776575
10422,6776577
10439,6776613
10451,6776628
10452,6776630
10459,6775335
10491,6776686
10497,6776697
10529,6776744
10539,6757868
10540,6776760
10543,6776765
10550,6775473
10561,6776786
10579,6776816
10624,6776902
10626,6776905
10656,6776946
10661,6776953
10684,6775165
10692,6777001
10719,6776993
10735,6775557
10737,6777080
10740,6777087
10750,6777107
10756,6777122
10759,6777128
10775,6777150
10828,6774963
10833,6777231
10855,6775572
10861,6777271
10863,6775392
10876,6777294
10882,6755720
10884,6777312
10891,6754401
10892,6758083
10893,6777339
10898,6777351
10901,6777362
10903,6777366
10909,6777381
10911,6777307
10913,6754148
10914,6757770
10917,6753823
10919,6777403
10925,6777418
10926,6777420
10932,6777436
10935,6755232
10943,6777388
10946,6777469
10948,6777473
10949,6777475
10953,6777483
10956,6777490
10957,6777494
10960,6753947
10963,6777505
10967,6777307
10969,6777523
10970,6777528
10979,6777340
10982,6777561
10984,6777307
10987,6777571
10989,6777574
10995,6777550
10998,6777602
10999,6777604
11001,6777608
11004,6777619
11010,6777362
11016,6777651
11019,6777665
11023,6777673
11025,6777680
11028,6777688
11029,6759647
11038,6777708
11041,6777716
11045,6777724
11052,6771088
11055,6777373
11058,6765448
11060,6754791
11066,6754969
11069,6777779
11078,6763842
11082,6777563
11089,6777826
11090,6777828
11096,6777844
11098,6777845
11100,6777851
11103,6777861
11105,6777867
11109,6777874
11110,6777877
11111,6777879
11125,6777914
11133,6777932
11136,6777935
11139,6777940
11144,6777953
11159,6777990
11187,6778050
11192,6778064
11198,6778079
11201,6777447
11202,6778091
11205,6778098
11212,6778116
11217,6777484
11219,6778132
11222,6778137
11227,6777303
11230,6778160
11237,6778180
11240,6778188
11243,6778193
11247,6754917
11249,6778204
11254,6765838
11256,6778220
11257,6759845
11272,6778252
11276,6754401
11277,6777910
11278,6778263
11285,6778261
11286,6778287
11294,6778262
11298,6777991
11299,6778310
11319,6778189
11324,6778378
11325,6778380
11327,6778385
11329,6778230
11334,6754240
11336,6778409
11339,6778423
11343,6778335
11345,6778436
11346,6777681
11350,6778446
11353,6778449
11361,6778468
11364,6768134
11366,6778477
11367,6778480
11369,6778484
11374,6777361
11376,6778496
11378,6778499
11381,6778501
11382,6778502
11385,6778509
11387,6754148
11391,6778519
11397,6778490
11401,6754589
11405,6777561
11406,6778552
11411,6778564
11414,6778570
11416,6778478
11418,6778501
11421,6778584
11423,6778590
11424,6778591
11431,6778608
11436,6778619
11445,6778639
11446,6778642
11456,6778074
11459,6778669
11465,6778684
11470,6778694
11472,6778132
11474,6778704
11476,6778707
11482,6754148
11483,6777764
11486,6778592
11489,6764062
11492,6778741
11496,6777307
11498,6778750
11499,6777858
11502,6777619
11511,6778787
11516,6778795
11517,6778798
11518,6778805
11519,6778810
11521,6778812
11522,6769768
11529,6777403
11530,6778830
11532,6757695
11533,6755314
11537,6777741
11538,6778592
11541,6777466
11544,6778847
11553,6778875
11560,6778886
11561,6766322
11565,6778901
11568,6778909
11574,6778927
11580,6778936
11583,6778941
11591,6778957
11596,6778967
11598,6777673
11600,6778976
11602,6778983
11603,6777397
11608,6778992
11618,6779014
11620,6779019
11622,6771465
11625,6777307
11626,6779031
11628,6779037
11635,6777763
11636,6779066
11640,6779074
11643,6779087
11645,6778979
11656,6779116
11659,6779126
11660,6779127
11661,6779131
11663,6779140
11666,6774068
11668,6779146
11671,6777303
11677,6779161
11678,6777779
11683,6777500
11686,6754197
11691,6779181
11696,6779189
11701,6779201
11703,6779207
11706,6765118
11707,6779210
11713,6779222
11718,6778022
11723,6779240
11724,6779243
11736,6777386
11738,6779261
11742,6779273
11744,6777528
11745,6777317
11747,6779277
11750,6779282
11753,6779288
11754,6779289
11757,6777422
11758,6779293
11771,6779321
11773,6779324
11775,6777476
11782,6779338
11785,6754399
11787,6779349
11789,6768282
11790,6779354
11796,6768186
11800,6778755
11803,6763725
11807,6777428
11809,6779391
11811,6777575
11812,6777764
11815,6778926
11817,6777380
11819,6779408
11822,6777809
11825,6777303
11829,6779425
11830,6774532
11832,6778692
11834,6779446
11835,6764675
11837,6779453
11839,6779458
11842,6779465
11843,6754399
11849,6779480
11851,6754199
11853,6778898
11855,6779488
11857,6779491
11867,6779515
11870,6779522
11875,6766018
11883,6777307
11886,6779546
11888,6779550
11893,6777366
11899,6754688
11900,6778333
11904,6779589
11905,6777372
11909,6758698
11910,6779600
11911,6779602
11925,6779626
11927,6779627
11933,6776028
11934,6779639
11936,6779642
11938,6777770
11942,6773545
11943,6777430
11945,6779660
11963,6778230
11966,6779706
11968,6779708
11973,6779717
11974,6777917
11984,6759629
11985,6779728
11987,6779734
11990,6777471
11997,6778812
11999,6777307
12000,6779769
12003,6779777
12009,6779792
12021,6779813
12023,6779818
12033,6778641
12035,6778973
12037,6777857
12045,6761990
12048,6759807
12049,6779869
12050,6779870
12054,6779876
12055,6779879
12056,6779880
12057,6764037
12064,6778721
12066,6765555
12068,6779904
12074,6777764
12075,6777991
12076,6777373
12078,6777386
12082,6779923
12083,6754822
12086,6766018
12088,6779929
12094,6777422
12095,6779938
12099,6779941
12101,6754148
12106,6777551
12108,6779954
12115,6779965
12120,6762214
12127,6779984
12129,6778124
12131,6763109
12134,6779994
12136,6780000
12138,6780003
12140,6780009
12141,6780010
12144,6780015
12145,6763997
12150,6780025
12151,6780026
12152,6777794
12153,6780029
12154,6780031
12160,6777659
12162,6780041
12163,6780042
12168,6780046
12170,6760213
12173,6780056
12177,6779515
12182,6780069
12190,6755720
12192,6780085
12193,6780086
12200,6780098
12204,6780105
12212,6780121
12213,6780123
12214,6780124
12218,6756104
12219,6777366
12224,6780136
12225,6780138
12227,6777659
12233,6780150
12234,6779854
12236,6777366
12237,6780156
12242,6754148
12246,6780168
12247,6780171
12252,6777702
12253,6778045
12257,6780184
12260,6778085
12261,6780191
12262,6780193
12263,6780196
12270,6780211
12272,6780216
12282,6777366
12283,6780238
12287,6777886
12291,6777366
12293,6776997
12294,6755191
12298,6780267
12304,6780282
12306,6780287
12308,6779980
12311,6757660
12314,6780302
12315,6780304
12319,6777719
12320,6780311
12322,6780316
12323,6768746
12325,6780320
12337,6780350
12338,6778183
12339,6780353
12343,6779410
12346,6778707
12352,6780376
12355,6779124
12356,6771791
12359,6778096
12363,6771465
12371,6778026
12372,6780411
12376,6780419
12382,6780440
12383,6755636
12388,6777563
12392,6761601
12393,6777307
12394,6780458
12399,6780468
12403,6780165
12404,6780482
12407,6780489
12422,6779896
12431,6780527
12432,6780529
12437,6780536
12439,6780538
12441,6780540
12443,6777307
12444,6778031
12447,6764037
12448,6755740
12450,6777303
12462,6780581
12465,6780585
12477,6780601
12484,6755239
12487,6780614
12494,6780626
12498,6779272
12500,6780637
12501,6755502
12503,6777307
12510,6780653
12513,6780656
12527,6777307
12528,6780679
12530,6777760
12532,6771465
12533,6778941
12539,6780700
12545,6777476
12551,6777505
12556,6780726
12562,6780737
12566,6780603
12569,6780746
12570,6780748
12577,6780763
12579,6780765
12584,6780592
12591,6779771
12599,6778818
12601,6771586
12606,6780805
12610,6780813
12614,6777409
12618,6778592
12621,6777307
12624,6780826
12631,6770698
12632,6780417
12633,6767504
12639,6780844
12642,6767078
12644,6780856
12647,6777307
12649,6777872
12650,6780860
12654,6755753
12656,6780045
12657,6754148
12660,6780872
12665,6780879
12670,6780886
12682,6779094
12683,6777366
12684,6754148
12685,6777989
12697,6780933
12704,6780944
12705,6780946
12706,6780965
12711,6777307
12716,6780079
12720,6778407
12721,6778261
12722,6780518
12726,6771465
12727,6755267
12735,6781006
12742,6777702
12750,6781028
12751,6770279
12753,6777422
12755,6779947
12757,6754148
12768,6781060
12771,6777756
12772,6777779
12774,6778887
12777,6757759
12778,6781072
12782,6781080
12784,6778410
12786,6781084
12793,6781104
12794,6781106
12799,6777590
12805,6778732
12812,6781135
12813,6781136
12816,6781144
12818,6781146
12823,6769669
12826,6781155
12831,6781163
12835,6777420
